,embedding,name,split,preprocessing,classifier,accuracy,prep_time,clf_time
0,fasttextidf_wosigni,Agatha Christie,0,None,KNeighborsClassifier,0.7963,0.0,0.0281
1,fasttextidf_wosigni,Agatha Christie,0,None,LinearSVC,0.8519,0.0,0.1864
2,fasttextidf_wosigni,Agatha Christie,0,None,MLPClassifier,0.8519,0.0,1.4625
3,fasttextidf_wosigni,Agatha Christie,0,None,CatBoostClassifier,0.8519,0.0,29.2998
4,fasttextidf_wosigni,Agatha Christie,0,None,LGBMClassifier,0.8704,0.0,0.2963
5,fasttextidf_wosigni,Agatha Christie,0,None,XGBClassifier,0.7963,0.0,0.3388
6,fasttextidf_wosigni,Agatha Christie,0,"PCA(n_components=50, random_state=42)",KNeighborsClassifier,0.7222,0.0583,0.014
7,fasttextidf_wosigni,Agatha Christie,0,"PCA(n_components=50, random_state=42)",LinearSVC,0.8704,0.0583,0.0088
8,fasttextidf_wosigni,Agatha Christie,0,"PCA(n_components=50, random_state=42)",MLPClassifier,0.8519,0.0583,1.061
9,fasttextidf_wosigni,Agatha Christie,0,"PCA(n_components=50, random_state=42)",CatBoostClassifier,0.8704,0.0583,4.5353
10,fasttextidf_wosigni,Agatha Christie,0,"PCA(n_components=50, random_state=42)",LGBMClassifier,0.7963,0.0583,0.1148
11,fasttextidf_wosigni,Agatha Christie,0,"PCA(n_components=50, random_state=42)",XGBClassifier,0.8148,0.0583,0.1395
12,fasttextidf_wosigni,Agatha Christie,1,None,KNeighborsClassifier,0.7358,0.0,0.0145
13,fasttextidf_wosigni,Agatha Christie,1,None,LinearSVC,0.8679,0.0,0.1641
14,fasttextidf_wosigni,Agatha Christie,1,None,MLPClassifier,0.8491,0.0,1.3897
15,fasttextidf_wosigni,Agatha Christie,1,None,CatBoostClassifier,0.7736,0.0,30.1587
16,fasttextidf_wosigni,Agatha Christie,1,None,LGBMClassifier,0.7736,0.0,0.3015
