,embedding,name,split,preprocessing,classifier,accuracy,prep_time,clf_time
0,average_fasttext,Sherlock Holmes,0,None,KNeighborsClassifier,0.4571,0.0009,0.0257
1,average_fasttext,Sherlock Holmes,0,None,LinearSVC,0.6095,0.0009,0.1337
2,average_fasttext,Sherlock Holmes,0,None,MLPClassifier,0.619,0.0009,3.0053
3,average_fasttext,Sherlock Holmes,0,None,CatBoostClassifier,0.581,0.0009,40.6725
4,average_fasttext,Sherlock Holmes,0,None,LGBMClassifier,0.6667,0.0009,1.1647
5,average_fasttext,Sherlock Holmes,0,None,XGBClassifier,0.6,0.0009,1.1427
6,average_fasttext,Sherlock Holmes,0,"PCA(n_components=50, random_state=42)",KNeighborsClassifier,0.4571,0.15,0.0263
7,average_fasttext,Sherlock Holmes,0,"PCA(n_components=50, random_state=42)",LinearSVC,0.6,0.15,0.0215
8,average_fasttext,Sherlock Holmes,0,"PCA(n_components=50, random_state=42)",MLPClassifier,0.6,0.15,1.7512
9,average_fasttext,Sherlock Holmes,0,"PCA(n_components=50, random_state=42)",CatBoostClassifier,0.619,0.15,8.642
10,average_fasttext,Sherlock Holmes,0,"PCA(n_components=50, random_state=42)",LGBMClassifier,0.6571,0.15,0.3558
11,average_fasttext,Sherlock Holmes,0,"PCA(n_components=50, random_state=42)",XGBClassifier,0.619,0.15,0.3654
12,average_fasttext,Sherlock Holmes,1,None,KNeighborsClassifier,0.4667,0.0012,0.0463
13,average_fasttext,Sherlock Holmes,1,None,LinearSVC,0.5429,0.0012,0.1314
14,average_fasttext,Sherlock Holmes,1,None,MLPClassifier,0.5714,0.0012,2.5036
15,average_fasttext,Sherlock Holmes,1,None,CatBoostClassifier,0.5333,0.0012,40.6179
16,average_fasttext,Sherlock Holmes,1,None,LGBMClassifier,0.5714,0.0012,1.1796
17,average_fasttext,Sherlock Holmes,1,None,XGBClassifier,0.5429,0.0012,1.1407
18,average_fasttext,Sherlock Holmes,1,"PCA(n_components=50, random_state=42)",KNeighborsClassifier,0.4667,0.2767,0.0315
19,average_fasttext,Sherlock Holmes,1,"PCA(n_components=50, random_state=42)",LinearSVC,0.5143,0.2767,0.0228
