,embedding,name,split,preprocessing,classifier,accuracy,prep_time,clf_time
0,average_fasttext,Newspapers,0,None,KNeighborsClassifier,0.9482,0.0114,0.4059
1,average_fasttext,Newspapers,0,None,LinearSVC,0.9738,0.0114,0.4544
2,average_fasttext,Newspapers,0,None,MLPClassifier,0.9659,0.0114,32.9313
3,average_fasttext,Newspapers,0,None,CatBoostClassifier,0.9718,0.0114,44.4759
4,average_fasttext,Newspapers,0,None,LGBMClassifier,0.9679,0.0114,6.8858
5,average_fasttext,Newspapers,0,None,XGBClassifier,0.9699,0.0114,22.3387
6,average_fasttext,Newspapers,0,"PCA(n_components=50, random_state=42)",KNeighborsClassifier,0.9607,0.5926,0.4082
7,average_fasttext,Newspapers,0,"PCA(n_components=50, random_state=42)",LinearSVC,0.9646,0.5926,0.0757
8,average_fasttext,Newspapers,0,"PCA(n_components=50, random_state=42)",MLPClassifier,0.9679,0.5926,21.3136
9,average_fasttext,Newspapers,0,"PCA(n_components=50, random_state=42)",CatBoostClassifier,0.9731,0.5926,11.8584
10,average_fasttext,Newspapers,0,"PCA(n_components=50, random_state=42)",LGBMClassifier,0.9659,0.5926,1.5948
11,average_fasttext,Newspapers,0,"PCA(n_components=50, random_state=42)",XGBClassifier,0.9666,0.5926,4.9565
12,average_fasttext,Newspapers,1,None,KNeighborsClassifier,0.9456,0.0137,0.4561
13,average_fasttext,Newspapers,1,None,LinearSVC,0.9731,0.0137,0.4837
14,average_fasttext,Newspapers,1,None,MLPClassifier,0.9712,0.0137,29.9116
15,average_fasttext,Newspapers,1,None,CatBoostClassifier,0.9744,0.0137,43.683
16,average_fasttext,Newspapers,1,None,LGBMClassifier,0.9738,0.0137,6.9396
17,average_fasttext,Newspapers,1,None,XGBClassifier,0.9744,0.0137,22.8383
18,average_fasttext,Newspapers,1,"PCA(n_components=50, random_state=42)",KNeighborsClassifier,0.9581,0.5641,0.3739
19,average_fasttext,Newspapers,1,"PCA(n_components=50, random_state=42)",LinearSVC,0.964,0.5641,0.0827
20,average_fasttext,Newspapers,1,"PCA(n_components=50, random_state=42)",MLPClassifier,0.9666,0.5641,22.1342
21,average_fasttext,Newspapers,1,"PCA(n_components=50, random_state=42)",CatBoostClassifier,0.964,0.5641,11.8973
22,average_fasttext,Newspapers,1,"PCA(n_components=50, random_state=42)",LGBMClassifier,0.9574,0.5641,1.5887
23,average_fasttext,Newspapers,1,"PCA(n_components=50, random_state=42)",XGBClassifier,0.9594,0.5641,4.9933
