,embedding,name,split,preprocessing,classifier,accuracy,prep_time,clf_time
0,tfidf,Jane Austen,0,None,KNeighborsClassifier,0.981,0.0,0.0653
1,tfidf,Jane Austen,0,None,LinearSVC,1.0,0.0,0.0444
2,tfidf,Jane Austen,0,None,MLPClassifier,0.9924,0.0,27.334
3,tfidf,Jane Austen,0,None,MultinomialNB,0.9506,0.0,0.0209
4,tfidf,Jane Austen,0,None,ComplementNB,0.9962,0.0,0.0049
5,tfidf,Jane Austen,0,None,LGBMClassifier,0.9924,0.0,4.4165
6,tfidf,Jane Austen,0,None,XGBClassifier,0.9924,0.0,2.115
7,tfidf,Jane Austen,0,"TruncatedSVD(n_components=50, random_state=42)",KNeighborsClassifier,0.9924,0.625,0.0392
8,tfidf,Jane Austen,0,"TruncatedSVD(n_components=50, random_state=42)",LinearSVC,0.9962,0.625,0.0273
9,tfidf,Jane Austen,0,"TruncatedSVD(n_components=50, random_state=42)",MLPClassifier,0.9962,0.625,3.7274
10,tfidf,Jane Austen,0,"TruncatedSVD(n_components=50, random_state=42)",LGBMClassifier,0.9962,0.625,1.1982
11,tfidf,Jane Austen,0,"TruncatedSVD(n_components=50, random_state=42)",XGBClassifier,0.9924,0.625,0.2957
12,tfidf,Jane Austen,1,None,KNeighborsClassifier,0.9848,0.0,0.0611
13,tfidf,Jane Austen,1,None,LinearSVC,1.0,0.0,0.0425
14,tfidf,Jane Austen,1,None,MLPClassifier,0.9962,0.0,25.2497
15,tfidf,Jane Austen,1,None,MultinomialNB,0.9506,0.0,0.0126
16,tfidf,Jane Austen,1,None,ComplementNB,1.0,0.0,0.0214
17,tfidf,Jane Austen,1,None,LGBMClassifier,0.9886,0.0,4.4563
18,tfidf,Jane Austen,1,None,XGBClassifier,0.9886,0.0,2.1027
19,tfidf,Jane Austen,1,"TruncatedSVD(n_components=50, random_state=42)",KNeighborsClassifier,0.9924,0.5874,0.0771
20,tfidf,Jane Austen,1,"TruncatedSVD(n_components=50, random_state=42)",LinearSVC,0.9962,0.5874,0.0346
21,tfidf,Jane Austen,1,"TruncatedSVD(n_components=50, random_state=42)",MLPClassifier,0.9962,0.5874,3.0881
22,tfidf,Jane Austen,1,"TruncatedSVD(n_components=50, random_state=42)",LGBMClassifier,0.9772,0.5874,0.9624
23,tfidf,Jane Austen,1,"TruncatedSVD(n_components=50, random_state=42)",XGBClassifier,0.9734,0.5874,0.3131
24,tfidf,Jane Austen,2,None,KNeighborsClassifier,0.981,0.0,0.0632
25,tfidf,Jane Austen,2,None,LinearSVC,1.0,0.0,0.0461
26,tfidf,Jane Austen,2,None,MLPClassifier,1.0,0.0,26.4938
27,tfidf,Jane Austen,2,None,MultinomialNB,0.9468,0.0,0.009
28,tfidf,Jane Austen,2,None,ComplementNB,1.0,0.0,0.0058
29,tfidf,Jane Austen,2,None,LGBMClassifier,1.0,0.0,3.6993
30,tfidf,Jane Austen,2,None,XGBClassifier,0.9962,0.0,2.1921
31,tfidf,Jane Austen,2,"TruncatedSVD(n_components=50, random_state=42)",KNeighborsClassifier,0.9886,0.7092,0.121
32,tfidf,Jane Austen,2,"TruncatedSVD(n_components=50, random_state=42)",LinearSVC,0.9962,0.7092,0.0363
33,tfidf,Jane Austen,2,"TruncatedSVD(n_components=50, random_state=42)",MLPClassifier,1.0,0.7092,4.225
34,tfidf,Jane Austen,2,"TruncatedSVD(n_components=50, random_state=42)",LGBMClassifier,0.9924,0.7092,0.9481
35,tfidf,Jane Austen,2,"TruncatedSVD(n_components=50, random_state=42)",XGBClassifier,0.9924,0.7092,0.3417
36,tfidf,Jane Austen,3,None,KNeighborsClassifier,0.9885,0.0,0.0677
37,tfidf,Jane Austen,3,None,LinearSVC,1.0,0.0,0.0445
38,tfidf,Jane Austen,3,None,MLPClassifier,1.0,0.0,28.3222
39,tfidf,Jane Austen,3,None,MultinomialNB,0.9542,0.0,0.0104
40,tfidf,Jane Austen,3,None,ComplementNB,1.0,0.0,0.0111
41,tfidf,Jane Austen,3,None,LGBMClassifier,0.9847,0.0,4.7705
42,tfidf,Jane Austen,3,None,XGBClassifier,0.9847,0.0,2.1253
43,tfidf,Jane Austen,3,"TruncatedSVD(n_components=50, random_state=42)",KNeighborsClassifier,0.9924,0.5617,0.0582
44,tfidf,Jane Austen,3,"TruncatedSVD(n_components=50, random_state=42)",LinearSVC,1.0,0.5617,0.0311
45,tfidf,Jane Austen,3,"TruncatedSVD(n_components=50, random_state=42)",MLPClassifier,0.9962,0.5617,3.875
46,tfidf,Jane Austen,3,"TruncatedSVD(n_components=50, random_state=42)",LGBMClassifier,0.9924,0.5617,0.9441
47,tfidf,Jane Austen,3,"TruncatedSVD(n_components=50, random_state=42)",XGBClassifier,0.9924,0.5617,0.3197
48,tfidf,Jane Austen,4,None,KNeighborsClassifier,0.9809,0.0,0.0613
49,tfidf,Jane Austen,4,None,LinearSVC,0.9962,0.0,0.045
50,tfidf,Jane Austen,4,None,MLPClassifier,0.9885,0.0,27.1194
51,tfidf,Jane Austen,4,None,MultinomialNB,0.9542,0.0,0.0115
52,tfidf,Jane Austen,4,None,ComplementNB,0.9962,0.0,0.0113
53,tfidf,Jane Austen,4,None,LGBMClassifier,0.9962,0.0,4.6975
54,tfidf,Jane Austen,4,None,XGBClassifier,0.9924,0.0,2.18
55,tfidf,Jane Austen,4,"TruncatedSVD(n_components=50, random_state=42)",KNeighborsClassifier,0.9924,0.7627,0.1118
56,tfidf,Jane Austen,4,"TruncatedSVD(n_components=50, random_state=42)",LinearSVC,0.9962,0.7627,0.0306
57,tfidf,Jane Austen,4,"TruncatedSVD(n_components=50, random_state=42)",MLPClassifier,0.9962,0.7627,4.0365
58,tfidf,Jane Austen,4,"TruncatedSVD(n_components=50, random_state=42)",LGBMClassifier,0.9962,0.7627,0.9635
59,tfidf,Jane Austen,4,"TruncatedSVD(n_components=50, random_state=42)",XGBClassifier,0.9962,0.7627,0.2982
