,embedding,name,split,preprocessing,classifier,accuracy,prep_time,clf_time
0,tfidf_wosigni,Sherlock Holmes,0,None,KNeighborsClassifier,0.7429,0.0,0.0172
1,tfidf_wosigni,Sherlock Holmes,0,None,LinearSVC,0.8571,0.0,0.0141
2,tfidf_wosigni,Sherlock Holmes,0,None,MLPClassifier,0.8381,0.0,16.9337
3,tfidf_wosigni,Sherlock Holmes,0,None,MultinomialNB,0.781,0.0,0.0058
4,tfidf_wosigni,Sherlock Holmes,0,None,ComplementNB,0.8762,0.0,0.0068
5,tfidf_wosigni,Sherlock Holmes,0,None,LGBMClassifier,0.5333,0.0,0.5626
6,tfidf_wosigni,Sherlock Holmes,0,None,XGBClassifier,0.581,0.0,1.3849
7,tfidf_wosigni,Sherlock Holmes,0,"TruncatedSVD(n_components=50, random_state=42)",KNeighborsClassifier,0.6857,0.2942,0.0297
8,tfidf_wosigni,Sherlock Holmes,0,"TruncatedSVD(n_components=50, random_state=42)",LinearSVC,0.7238,0.2942,0.0199
9,tfidf_wosigni,Sherlock Holmes,0,"TruncatedSVD(n_components=50, random_state=42)",MLPClassifier,0.7143,0.2942,1.6271
10,tfidf_wosigni,Sherlock Holmes,0,"TruncatedSVD(n_components=50, random_state=42)",LGBMClassifier,0.619,0.2942,0.4502
11,tfidf_wosigni,Sherlock Holmes,0,"TruncatedSVD(n_components=50, random_state=42)",XGBClassifier,0.6,0.2942,0.3413
12,tfidf_wosigni,Sherlock Holmes,1,None,KNeighborsClassifier,0.7048,0.0,0.0166
13,tfidf_wosigni,Sherlock Holmes,1,None,LinearSVC,0.7619,0.0,0.0134
14,tfidf_wosigni,Sherlock Holmes,1,None,MLPClassifier,0.8,0.0,16.6975
15,tfidf_wosigni,Sherlock Holmes,1,None,MultinomialNB,0.7048,0.0,0.007
16,tfidf_wosigni,Sherlock Holmes,1,None,ComplementNB,0.781,0.0,0.0069
17,tfidf_wosigni,Sherlock Holmes,1,None,LGBMClassifier,0.5619,0.0,0.5351
18,tfidf_wosigni,Sherlock Holmes,1,None,XGBClassifier,0.4952,0.0,1.352
19,tfidf_wosigni,Sherlock Holmes,1,"TruncatedSVD(n_components=50, random_state=42)",KNeighborsClassifier,0.6762,0.468,0.0318
20,tfidf_wosigni,Sherlock Holmes,1,"TruncatedSVD(n_components=50, random_state=42)",LinearSVC,0.6476,0.468,0.0203
