,embedding,name,split,preprocessing,classifier,accuracy,prep_time,clf_time
0,tfidf,Agatha Christie,0,None,KNeighborsClassifier,0.963,0.0,0.0124
1,tfidf,Agatha Christie,0,None,LinearSVC,0.9815,0.0,0.0118
2,tfidf,Agatha Christie,0,None,MLPClassifier,0.9815,0.0,16.2133
3,tfidf,Agatha Christie,0,None,MultinomialNB,0.9074,0.0,0.0069
4,tfidf,Agatha Christie,0,None,ComplementNB,0.9815,0.0,0.0064
5,tfidf,Agatha Christie,0,None,LGBMClassifier,0.963,0.0,0.3453
6,tfidf,Agatha Christie,0,None,XGBClassifier,0.963,0.0,0.734
7,tfidf,Agatha Christie,0,"TruncatedSVD(n_components=50, random_state=42)",KNeighborsClassifier,0.963,0.2602,0.0156
8,tfidf,Agatha Christie,0,"TruncatedSVD(n_components=50, random_state=42)",LinearSVC,0.9815,0.2602,0.0063
9,tfidf,Agatha Christie,0,"TruncatedSVD(n_components=50, random_state=42)",MLPClassifier,1.0,0.2602,0.6015
10,tfidf,Agatha Christie,0,"TruncatedSVD(n_components=50, random_state=42)",LGBMClassifier,0.963,0.2602,0.2035
11,tfidf,Agatha Christie,0,"TruncatedSVD(n_components=50, random_state=42)",XGBClassifier,0.9444,0.2602,0.0874
12,tfidf,Agatha Christie,1,None,KNeighborsClassifier,1.0,0.0,0.0125
13,tfidf,Agatha Christie,1,None,LinearSVC,0.9811,0.0,0.0127
14,tfidf,Agatha Christie,1,None,MLPClassifier,1.0,0.0,15.3877
15,tfidf,Agatha Christie,1,None,MultinomialNB,0.9245,0.0,0.0066
16,tfidf,Agatha Christie,1,None,ComplementNB,0.9434,0.0,0.0064
17,tfidf,Agatha Christie,1,None,LGBMClassifier,0.9434,0.0,0.3958
18,tfidf,Agatha Christie,1,None,XGBClassifier,0.8868,0.0,0.7182
19,tfidf,Agatha Christie,1,"TruncatedSVD(n_components=50, random_state=42)",KNeighborsClassifier,1.0,0.273,0.021
20,tfidf,Agatha Christie,1,"TruncatedSVD(n_components=50, random_state=42)",LinearSVC,0.9623,0.273,0.0079
21,tfidf,Agatha Christie,1,"TruncatedSVD(n_components=50, random_state=42)",MLPClassifier,0.9811,0.273,1.0628
22,tfidf,Agatha Christie,1,"TruncatedSVD(n_components=50, random_state=42)",LGBMClassifier,0.9434,0.273,0.27
