,embedding,name,split,preprocessing,classifier,accuracy,prep_time,clf_time
0,fasttextidf,Sherlock Holmes,0,None,KNeighborsClassifier,0.3905,0.0,0.0481
1,fasttextidf,Sherlock Holmes,0,None,LinearSVC,0.581,0.0,0.5147
2,fasttextidf,Sherlock Holmes,0,None,MLPClassifier,0.5905,0.0,2.4955
3,fasttextidf,Sherlock Holmes,0,None,CatBoostClassifier,0.5143,0.0,42.2923
4,fasttextidf,Sherlock Holmes,0,None,LGBMClassifier,0.5048,0.0,1.1252
5,fasttextidf,Sherlock Holmes,0,None,XGBClassifier,0.4571,0.0,1.3888
6,fasttextidf,Sherlock Holmes,0,"PCA(n_components=50, random_state=42)",KNeighborsClassifier,0.381,0.1535,0.0302
7,fasttextidf,Sherlock Holmes,0,"PCA(n_components=50, random_state=42)",LinearSVC,0.5048,0.1535,0.0322
8,fasttextidf,Sherlock Holmes,0,"PCA(n_components=50, random_state=42)",MLPClassifier,0.4571,0.1535,1.9323
9,fasttextidf,Sherlock Holmes,0,"PCA(n_components=50, random_state=42)",CatBoostClassifier,0.5048,0.1535,7.9132
10,fasttextidf,Sherlock Holmes,0,"PCA(n_components=50, random_state=42)",LGBMClassifier,0.4857,0.1535,0.2977
11,fasttextidf,Sherlock Holmes,0,"PCA(n_components=50, random_state=42)",XGBClassifier,0.4952,0.1535,0.3978
12,fasttextidf,Sherlock Holmes,1,None,KNeighborsClassifier,0.3429,0.0,0.0303
13,fasttextidf,Sherlock Holmes,1,None,LinearSVC,0.4286,0.0,0.5822
14,fasttextidf,Sherlock Holmes,1,None,MLPClassifier,0.4381,0.0,2.4451
15,fasttextidf,Sherlock Holmes,1,None,CatBoostClassifier,0.4667,0.0,42.8099
16,fasttextidf,Sherlock Holmes,1,None,LGBMClassifier,0.4286,0.0,1.0943
17,fasttextidf,Sherlock Holmes,1,None,XGBClassifier,0.3714,0.0,1.3242
18,fasttextidf,Sherlock Holmes,1,"PCA(n_components=50, random_state=42)",KNeighborsClassifier,0.3905,0.2232,0.0373
19,fasttextidf,Sherlock Holmes,1,"PCA(n_components=50, random_state=42)",LinearSVC,0.4286,0.2232,0.0362
20,fasttextidf,Sherlock Holmes,1,"PCA(n_components=50, random_state=42)",MLPClassifier,0.381,0.2232,1.8794
21,fasttextidf,Sherlock Holmes,1,"PCA(n_components=50, random_state=42)",CatBoostClassifier,0.4857,0.2232,8.3348
22,fasttextidf,Sherlock Holmes,1,"PCA(n_components=50, random_state=42)",LGBMClassifier,0.4286,0.2232,0.2811
23,fasttextidf,Sherlock Holmes,1,"PCA(n_components=50, random_state=42)",XGBClassifier,0.3905,0.2232,0.3855
24,fasttextidf,Sherlock Holmes,2,None,KNeighborsClassifier,0.4231,0.0,0.0237
25,fasttextidf,Sherlock Holmes,2,None,LinearSVC,0.5192,0.0,0.6026
