,embedding,name,split,preprocessing,classifier,accuracy,prep_time,clf_time
0,fasttextidf,Jane Austen,0,None,KNeighborsClassifier,0.4867,0.0,0.0697
1,fasttextidf,Jane Austen,0,None,LinearSVC,0.8023,0.0,0.9395
2,fasttextidf,Jane Austen,0,None,MLPClassifier,0.7947,0.0,5.9585
3,fasttextidf,Jane Austen,0,None,CatBoostClassifier,0.7262,0.0,48.8681
4,fasttextidf,Jane Austen,0,None,LGBMClassifier,0.7034,0.0,5.37
5,fasttextidf,Jane Austen,0,None,XGBClassifier,0.692,0.0,4.5147
6,fasttextidf,Jane Austen,0,"PCA(n_components=50, random_state=42)",KNeighborsClassifier,0.5361,0.8128,0.0619
7,fasttextidf,Jane Austen,0,"PCA(n_components=50, random_state=42)",LinearSVC,0.7376,0.8128,0.0695
8,fasttextidf,Jane Austen,0,"PCA(n_components=50, random_state=42)",MLPClassifier,0.749,0.8128,4.1074
9,fasttextidf,Jane Austen,0,"PCA(n_components=50, random_state=42)",CatBoostClassifier,0.7376,0.8128,11.4728
10,fasttextidf,Jane Austen,0,"PCA(n_components=50, random_state=42)",LGBMClassifier,0.692,0.8128,1.0964
11,fasttextidf,Jane Austen,0,"PCA(n_components=50, random_state=42)",XGBClassifier,0.692,0.8128,1.1482
12,fasttextidf,Jane Austen,1,None,KNeighborsClassifier,0.4449,0.0,0.0772
13,fasttextidf,Jane Austen,1,None,LinearSVC,0.8327,0.0,1.0571
14,fasttextidf,Jane Austen,1,None,MLPClassifier,0.8099,0.0,5.4726
15,fasttextidf,Jane Austen,1,None,CatBoostClassifier,0.7224,0.0,50.8162
16,fasttextidf,Jane Austen,1,None,LGBMClassifier,0.711,0.0,5.4425
17,fasttextidf,Jane Austen,1,None,XGBClassifier,0.7034,0.0,4.3392
18,fasttextidf,Jane Austen,1,"PCA(n_components=50, random_state=42)",KNeighborsClassifier,0.5133,0.8419,0.0808
19,fasttextidf,Jane Austen,1,"PCA(n_components=50, random_state=42)",LinearSVC,0.7414,0.8419,0.0718
20,fasttextidf,Jane Austen,1,"PCA(n_components=50, random_state=42)",MLPClassifier,0.7529,0.8419,3.2532
21,fasttextidf,Jane Austen,1,"PCA(n_components=50, random_state=42)",CatBoostClassifier,0.692,0.8419,11.29
22,fasttextidf,Jane Austen,1,"PCA(n_components=50, random_state=42)",LGBMClassifier,0.673,0.8419,1.0788
23,fasttextidf,Jane Austen,1,"PCA(n_components=50, random_state=42)",XGBClassifier,0.6958,0.8419,1.1503
24,fasttextidf,Jane Austen,2,None,KNeighborsClassifier,0.4829,0.0,0.0704
25,fasttextidf,Jane Austen,2,None,LinearSVC,0.8023,0.0,0.95
26,fasttextidf,Jane Austen,2,None,MLPClassifier,0.7795,0.0,5.481
27,fasttextidf,Jane Austen,2,None,CatBoostClassifier,0.7529,0.0,57.9235
28,fasttextidf,Jane Austen,2,None,LGBMClassifier,0.7148,0.0,5.2353
29,fasttextidf,Jane Austen,2,None,XGBClassifier,0.6882,0.0,4.4018
30,fasttextidf,Jane Austen,2,"PCA(n_components=50, random_state=42)",KNeighborsClassifier,0.4639,0.5831,0.0682
31,fasttextidf,Jane Austen,2,"PCA(n_components=50, random_state=42)",LinearSVC,0.749,0.5831,0.074
32,fasttextidf,Jane Austen,2,"PCA(n_components=50, random_state=42)",MLPClassifier,0.7529,0.5831,3.6399
33,fasttextidf,Jane Austen,2,"PCA(n_components=50, random_state=42)",CatBoostClassifier,0.7224,0.5831,11.7055
34,fasttextidf,Jane Austen,2,"PCA(n_components=50, random_state=42)",LGBMClassifier,0.7186,0.5831,1.0828
35,fasttextidf,Jane Austen,2,"PCA(n_components=50, random_state=42)",XGBClassifier,0.6806,0.5831,1.122
36,fasttextidf,Jane Austen,3,None,KNeighborsClassifier,0.5344,0.0,0.0658
37,fasttextidf,Jane Austen,3,None,LinearSVC,0.8321,0.0,0.958
38,fasttextidf,Jane Austen,3,None,MLPClassifier,0.8053,0.0,6.2677
39,fasttextidf,Jane Austen,3,None,CatBoostClassifier,0.8015,0.0,57.2592
40,fasttextidf,Jane Austen,3,None,LGBMClassifier,0.7595,0.0,5.3838
41,fasttextidf,Jane Austen,3,None,XGBClassifier,0.7443,0.0,4.4479
42,fasttextidf,Jane Austen,3,"PCA(n_components=50, random_state=42)",KNeighborsClassifier,0.542,0.5057,0.0584
43,fasttextidf,Jane Austen,3,"PCA(n_components=50, random_state=42)",LinearSVC,0.7557,0.5057,0.0718
44,fasttextidf,Jane Austen,3,"PCA(n_components=50, random_state=42)",MLPClassifier,0.7481,0.5057,3.8411
45,fasttextidf,Jane Austen,3,"PCA(n_components=50, random_state=42)",CatBoostClassifier,0.7366,0.5057,12.1018
46,fasttextidf,Jane Austen,3,"PCA(n_components=50, random_state=42)",LGBMClassifier,0.6985,0.5057,1.1047
47,fasttextidf,Jane Austen,3,"PCA(n_components=50, random_state=42)",XGBClassifier,0.6985,0.5057,1.1604
48,fasttextidf,Jane Austen,4,None,KNeighborsClassifier,0.4962,0.0,0.0632
49,fasttextidf,Jane Austen,4,None,LinearSVC,0.813,0.0,1.0446
50,fasttextidf,Jane Austen,4,None,MLPClassifier,0.813,0.0,6.3959
51,fasttextidf,Jane Austen,4,None,CatBoostClassifier,0.7443,0.0,57.9221
52,fasttextidf,Jane Austen,4,None,LGBMClassifier,0.7557,0.0,5.3957
53,fasttextidf,Jane Austen,4,None,XGBClassifier,0.687,0.0,4.4257
54,fasttextidf,Jane Austen,4,"PCA(n_components=50, random_state=42)",KNeighborsClassifier,0.5687,0.7011,0.0404
55,fasttextidf,Jane Austen,4,"PCA(n_components=50, random_state=42)",LinearSVC,0.7481,0.7011,0.0719
56,fasttextidf,Jane Austen,4,"PCA(n_components=50, random_state=42)",MLPClassifier,0.7481,0.7011,3.9606
57,fasttextidf,Jane Austen,4,"PCA(n_components=50, random_state=42)",CatBoostClassifier,0.7061,0.7011,11.9561
58,fasttextidf,Jane Austen,4,"PCA(n_components=50, random_state=42)",LGBMClassifier,0.7061,0.7011,1.075
59,fasttextidf,Jane Austen,4,"PCA(n_components=50, random_state=42)",XGBClassifier,0.6794,0.7011,1.1529
