,embedding,name,split,preprocessing,classifier,accuracy,prep_time,clf_time
0,roberta,Newspapers,0,None,KNeighborsClassifier,0.9502,3.8533,20.5542
1,roberta,Newspapers,0,None,LinearSVC,0.9594,3.8533,3.9241
2,roberta,Newspapers,0,None,MLPClassifier,0.9718,3.8533,22.7715
3,roberta,Newspapers,0,None,CatBoostClassifier,0.9653,3.8533,98.0141
4,roberta,Newspapers,0,None,LGBMClassifier,0.9594,3.8533,18.6526
5,roberta,Newspapers,0,None,XGBClassifier,0.9561,3.8533,63.1176
6,roberta,Newspapers,0,"PCA(n_components=50, random_state=42)",KNeighborsClassifier,0.9443,1.8187,5.299
7,roberta,Newspapers,0,"PCA(n_components=50, random_state=42)",LinearSVC,0.9541,1.8187,1.1987
8,roberta,Newspapers,0,"PCA(n_components=50, random_state=42)",MLPClassifier,0.9587,1.8187,13.3038
9,roberta,Newspapers,0,"PCA(n_components=50, random_state=42)",CatBoostClassifier,0.9502,1.8187,11.7653
10,roberta,Newspapers,0,"PCA(n_components=50, random_state=42)",LGBMClassifier,0.943,1.8187,1.4745
11,roberta,Newspapers,0,"PCA(n_components=50, random_state=42)",XGBClassifier,0.9364,1.8187,5.7508
12,roberta,Newspapers,1,None,KNeighborsClassifier,0.9495,0.0267,4.0001
13,roberta,Newspapers,1,None,LinearSVC,0.96,0.0267,4.014
14,roberta,Newspapers,1,None,MLPClassifier,0.964,0.0267,18.9414
15,roberta,Newspapers,1,None,CatBoostClassifier,0.9646,0.0267,100.8232
16,roberta,Newspapers,1,None,LGBMClassifier,0.9541,0.0267,18.4358
17,roberta,Newspapers,1,None,XGBClassifier,0.9535,0.0267,62.1994
18,roberta,Newspapers,1,"PCA(n_components=50, random_state=42)",KNeighborsClassifier,0.9469,1.5091,1.8673
19,roberta,Newspapers,1,"PCA(n_components=50, random_state=42)",LinearSVC,0.9482,1.5091,1.1985
20,roberta,Newspapers,1,"PCA(n_components=50, random_state=42)",MLPClassifier,0.96,1.5091,13.818
21,roberta,Newspapers,1,"PCA(n_components=50, random_state=42)",CatBoostClassifier,0.9581,1.5091,11.7076
22,roberta,Newspapers,1,"PCA(n_components=50, random_state=42)",LGBMClassifier,0.9489,1.5091,1.5209
23,roberta,Newspapers,1,"PCA(n_components=50, random_state=42)",XGBClassifier,0.9509,1.5091,5.7519
24,roberta,Newspapers,2,None,KNeighborsClassifier,0.9495,0.0242,5.0857
25,roberta,Newspapers,2,None,LinearSVC,0.9554,0.0242,3.8891
26,roberta,Newspapers,2,None,MLPClassifier,0.9738,0.0242,14.1986
27,roberta,Newspapers,2,None,CatBoostClassifier,0.96,0.0242,101.1163
